fight_id,fighter_id,round,kd,sig_str,total_str,td,sub_att,reversals,ctr_time,head,body,leg,distance,clinch,ground
4671,2028,3,0,20 of 66,35 of 81,0 of 0,0,0,1:37,7 of 45,12 of 19,1 of 2,9 of 51,11 of 15,0 of 0
4671,1157,1,0,34 of 79,34 of 79,0 of 0,0,0,0:00,16 of 60,5 of 6,13 of 13,34 of 78,0 of 1,0 of 0
4671,1157,2,0,17 of 48,17 of 48,0 of 1,0,0,0:02,9 of 32,1 of 4,7 of 12,17 of 45,0 of 3,0 of 0
4671,1157,3,0,21 of 46,28 of 53,0 of 0,0,0,0:00,14 of 35,5 of 8,2 of 3,15 of 31,6 of 15,0 of 0
4672,2161,1,0,0 of 0,2 of 2,0 of 0,0,0,0:10,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0
4672,2161,2,0,7 of 14,7 of 14,0 of 0,0,0,0:02,4 of 10,2 of 3,1 of 1,5 of 12,0 of 0,2 of 2
4672,3557,1,0,8 of 14,13 of 19,4 of 4,0,0,4:45,6 of 11,2 of 3,0 of 0,0 of 0,4 of 5,4 of 9
4672,3557,2,0,17 of 42,21 of 47,1 of 3,1,0,2:06,12 of 35,4 of 5,1 of 2,6 of 17,0 of 0,11 of 25
4673,3591,1,0,25 of 59,25 of 59,0 of 0,0,0,0:00,14 of 45,1 of 3,10 of 11,25 of 58,0 of 1,0 of 0
4673,3591,2,0,23 of 60,23 of 60,0 of 0,0,0,0:00,14 of 45,2 of 4,7 of 11,22 of 57,1 of 3,0 of 0
4673,3591,3,0,23 of 64,31 of 73,0 of 1,0,0,0:00,15 of 51,2 of 5,6 of 8,21 of 62,2 of 2,0 of 0
4673,1791,1,0,16 of 63,16 of 63,0 of 0,0,0,0:00,13 of 56,0 of 0,3 of 7,15 of 62,1 of 1,0 of 0
4673,1791,2,0,10 of 67,10 of 67,0 of 0,0,0,0:00,9 of 61,0 of 1,1 of 5,9 of 66,1 of 1,0 of 0
4673,1791,3,0,22 of 66,38 of 82,0 of 1,0,0,0:37,13 of 55,2 of 3,7 of 8,18 of 62,4 of 4,0 of 0
4674,3078,1,0,9 of 51,9 of 51,0 of 0,0,0,0:00,6 of 46,3 of 5,0 of 0,9 of 51,0 of 0,0 of 0
4674,3078,2,0,23 of 80,23 of 80,0 of 0,0,0,0:00,18 of 71,5 of 9,0 of 0,23 of 80,0 of 0,0 of 0
4674,3078,3,0,12 of 81,12 of 81,0 of 0,0,0,0:00,10 of 72,2 of 9,0 of 0,11 of 79,1 of 2,0 of 0
4674,4373,1,0,20 of 68,20 of 68,0 of 0,0,0,0:00,13 of 55,2 of 5,5 of 8,20 of 68,0 of 0,0 of 0
4674,4373,2,0,27 of 80,27 of 80,0 of 0,0,0,0:00,14 of 56,0 of 3,13 of 21,27 of 80,0 of 0,0 of 0
4674,4373,3,0,24 of 79,24 of 79,0 of 0,0,0,0:00,15 of 63,0 of 0,9 of 16,24 of 78,0 of 1,0 of 0
4675,161,1,0,1 of 5,6 of 13,0 of 1,0,0,0:56,0 of 4,1 of 1,0 of 0,0 of 4,1 of 1,0 of 0
