fight_id,fighter_id,round,kd,sig_str,total_str,td,sub_att,reversals,ctr_time,head,body,leg,distance,clinch,ground
1,2715,1,0,1 of 1,2 of 2,1 of 1,1,0,--,1 of 1,0 of 0,0 of 0,0 of 0,1 of 1,0 of 0
1,874,1,0,0 of 4,1 of 5,0 of 0,0,0,--,0 of 2,0 of 0,0 of 2,0 of 3,0 of 1,0 of 0
2,3747,1,0,1 of 1,1 of 1,0 of 1,1,0,--,0 of 0,1 of 1,0 of 0,0 of 0,1 of 1,0 of 0
2,4330,1,0,1 of 1,2 of 2,0 of 0,0,0,--,0 of 0,0 of 0,1 of 1,1 of 1,0 of 0,0 of 0
3,3292,1,0,11 of 17,74 of 86,1 of 1,0,0,--,9 of 15,1 of 1,1 of 1,1 of 1,1 of 1,9 of 15
3,2233,1,0,4 of 5,95 of 102,0 of 0,0,0,--,4 of 5,0 of 0,0 of 0,1 of 2,2 of 2,1 of 1
4,1558,1,0,2 of 3,14 of 15,1 of 1,3,1,--,2 of 3,0 of 0,0 of 0,1 of 1,0 of 0,1 of 2
4,2328,1,0,0 of 0,0 of 0,0 of 1,0,0,--,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0
5,4295,1,0,8 of 12,11 of 15,0 of 0,0,0,--,7 of 11,1 of 1,0 of 0,1 of 3,0 of 0,7 of 9
5,2314,1,0,2 of 6,2 of 6,1 of 1,1,0,--,1 of 2,0 of 1,1 of 3,2 of 6,0 of 0,0 of 0
6,3008,1,0,4 of 6,20 of 22,1 of 1,1,0,--,4 of 5,0 of 0,0 of 1,0 of 1,0 of 0,4 of 5
6,2220,1,0,1 of 3,9 of 11,0 of 0,0,0,--,1 of 3,0 of 0,0 of 0,1 of 1,0 of 0,0 of 2
7,927,1,0,3 of 5,20 of 25,0 of 1,5,4,--,1 of 2,1 of 2,1 of 1,2 of 4,0 of 0,1 of 1
7,245,1,0,0 of 2,14 of 23,1 of 1,0,2,--,0 of 2,0 of 0,0 of 0,0 of 2,0 of 0,0 of 0
8,1458,1,0,2 of 4,110 of 114,1 of 1,2,0,--,0 of 0,0 of 0,2 of 4,2 of 4,0 of 0,0 of 0
8,1769,1,0,3 of 7,12 of 16,0 of 0,0,0,--,3 of 6,0 of 0,0 of 1,0 of 2,0 of 0,3 of 5
9,3747,1,0,13 of 17,19 of 25,0 of 0,0,0,--,12 of 16,1 of 1,0 of 0,0 of 0,1 of 1,12 of 16
9,2715,1,0,0 of 0,0 of 0,0 of 1,0,0,--,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0
10,3292,1,1,13 of 29,21 of 38,0 of 0,1,0,--,12 of 28,0 of 0,1 of 1,3 of 6,1 of 2,9 of 21
10,1139,1,0,4 of 7,7 of 11,0 of 0,0,0,--,0 of 1,2 of 4,2 of 2,4 of 7,0 of 0,0 of 0
11,3008,1,0,7 of 7,7 of 7,1 of 1,0,0,--,7 of 7,0 of 0,0 of 0,0 of 0,0 of 0,7 of 7
11,4295,1,0,1 of 2,5 of 7,0 of 0,0,0,--,0 of 1,0 of 0,1 of 1,1 of 2,0 of 0,0 of 0
12,1458,1,0,0 of 0,0 of 0,0 of 0,1,1,--,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0
12,927,1,0,0 of 0,0 of 0,1 of 1,0,0,--,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0
13,3747,1,0,5 of 12,5 of 12,0 of 0,1,0,--,1 of 4,2 of 2,2 of 6,3 of 10,2 of 2,0 of 0
13,3292,1,0,4 of 9,4 of 9,0 of 0,0,0,--,2 of 5,0 of 0,2 of 4,4 of 9,0 of 0,0 of 0
14,1458,1,0,0 of 0,0 of 0,1 of 2,1,0,--,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0
14,3008,1,0,0 of 0,0 of 0,0 of 0,0,0,--,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0
15,1458,1,0,4 of 4,11 of 11,1 of 2,0,0,--,3 of 3,0 of 0,1 of 1,0 of 0,1 of 1,3 of 3
15,3747,1,0,1 of 2,2 of 3,0 of 0,0,0,--,0 of 0,1 of 2,0 of 0,0 of 1,1 of 1,0 of 0
16,1538,1,1,34 of 50,36 of 52,0 of 0,0,0,--,29 of 45,0 of 0,5 of 5,6 of 8,2 of 3,26 of 39
16,4382,1,0,1 of 5,4 of 9,0 of 1,0,0,--,1 of 5,0 of 0,0 of 0,0 of 2,0 of 0,1 of 3
17,3644,1,0,8 of 9,16 of 20,1 of 1,0,0,--,5 of 6,3 of 3,0 of 0,0 of 1,0 of 0,8 of 8
17,2216,1,0,1 of 2,21 of 23,0 of 0,0,0,--,1 of 2,0 of 0,0 of 0,1 of 2,0 of 0,0 of 0
18,1737,1,1,9 of 12,12 of 15,0 of 1,0,0,--,9 of 12,0 of 0,0 of 0,1 of 4,4 of 4,4 of 4
18,3048,1,0,3 of 4,3 of 4,1 of 2,0,0,--,0 of 0,2 of 2,1 of 2,2 of 2,1 of 2,0 of 0
19,1458,1,0,2 of 6,17 of 21,0 of 2,1,1,--,1 of 1,0 of 2,1 of 3,0 of 0,2 of 6,0 of 0
19,2224,1,0,6 of 9,6 of 10,1 of 1,0,1,--,3 of 6,2 of 2,1 of 1,0 of 1,3 of 3,3 of 5
20,3644,1,0,4 of 4,7 of 7,1 of 2,1,0,--,1 of 1,2 of 2,1 of 1,0 of 0,3 of 3,1 of 1
20,2636,1,0,3 of 3,21 of 22,0 of 0,0,0,--,0 of 0,1 of 1,2 of 2,0 of 0,3 of 3,0 of 0
21,1852,1,0,6 of 11,7 of 13,1 of 1,0,0,--,6 of 11,0 of 0,0 of 0,1 of 2,0 of 0,5 of 9
21,1737,1,0,2 of 6,3 of 7,0 of 0,1,0,--,2 of 6,0 of 0,0 of 0,1 of 4,1 of 1,0 of 1
24,2588,1,0,19 of 30,23 of 34,1 of 1,0,0,--,17 of 28,1 of 1,1 of 1,0 of 1,4 of 5,15 of 24
24,1161,1,1,9 of 12,12 of 15,0 of 0,0,0,--,5 of 8,2 of 2,2 of 2,1 of 4,4 of 4,4 of 4
25,1458,1,0,7 of 11,27 of 31,1 of 1,1,0,--,5 of 8,2 of 3,0 of 0,0 of 1,0 of 0,7 of 10
25,4132,1,0,0 of 2,0 of 2,0 of 0,0,0,--,0 of 2,0 of 0,0 of 0,0 of 0,0 of 0,0 of 2
26,1538,1,0,8 of 14,10 of 16,0 of 0,1,0,--,1 of 5,0 of 1,7 of 8,2 of 7,0 of 0,6 of 7
26,3781,1,0,0 of 0,4 of 4,1 of 1,1,0,--,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0
27,1852,1,0,13 of 40,29 of 70,2 of 3,1,0,--,13 of 36,0 of 2,0 of 2,0 of 6,0 of 0,13 of 34
27,432,1,0,1 of 4,48 of 59,0 of 0,0,0,--,1 of 4,0 of 0,0 of 0,0 of 3,1 of 1,0 of 0
28,3635,1,0,0 of 0,0 of 0,2 of 5,1,0,--,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0
28,2350,1,0,8 of 9,12 of 14,0 of 0,0,0,--,4 of 4,2 of 2,2 of 3,2 of 3,3 of 3,3 of 3
29,1458,1,0,11 of 23,45 of 58,0 of 2,3,0,--,7 of 15,3 of 5,1 of 3,2 of 10,9 of 13,0 of 0
29,1538,1,0,4 of 13,7 of 16,0 of 0,0,0,--,3 of 12,1 of 1,0 of 0,1 of 3,2 of 4,1 of 6
30,3635,1,0,0 of 0,0 of 0,1 of 1,1,0,--,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0
30,421,1,0,1 of 2,2 of 3,0 of 0,0,0,--,0 of 0,1 of 2,0 of 0,1 of 2,0 of 0,0 of 0
31,1458,1,0,0 of 4,80 of 84,0 of 0,3,0,--,0 of 1,0 of 0,0 of 3,0 of 4,0 of 0,0 of 0
31,3635,1,0,4 of 7,27 of 43,1 of 1,0,0,--,4 of 7,0 of 0,0 of 0,0 of 0,0 of 0,4 of 7
32,327,1,0,12 of 18,12 of 18,1 of 1,0,0,--,12 of 18,0 of 0,0 of 0,0 of 0,0 of 0,12 of 18
32,582,1,0,0 of 0,0 of 0,0 of 0,0,0,--,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0
33,2588,1,1,12 of 17,15 of 20,0 of 0,0,0,--,10 of 15,1 of 1,1 of 1,2 of 5,2 of 2,8 of 10
33,1009,1,0,0 of 4,2 of 7,0 of 0,0,0,--,0 of 0,0 of 2,0 of 2,0 of 4,0 of 0,0 of 0
34,1661,1,0,17 of 28,30 of 41,0 of 0,0,0,--,7 of 17,10 of 11,0 of 0,6 of 14,6 of 9,5 of 5
34,136,1,0,2 of 2,6 of 6,0 of 2,0,1,--,2 of 2,0 of 0,0 of 0,0 of 0,0 of 0,2 of 2
35,2552,1,0,4 of 4,64 of 66,1 of 1,1,0,--,3 of 3,1 of 1,0 of 0,0 of 0,0 of 0,4 of 4
35,836,1,0,1 of 2,15 of 16,0 of 0,0,0,--,0 of 1,1 of 1,0 of 0,0 of 1,1 of 1,0 of 0
36,3947,1,0,0 of 0,0 of 0,0 of 1,1,1,--,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0
36,4167,1,0,2 of 5,7 of 11,0 of 0,0,0,--,2 of 5,0 of 0,0 of 0,0 of 2,0 of 0,2 of 3
37,3635,1,0,2 of 4,12 of 19,1 of 1,1,0,--,2 of 4,0 of 0,0 of 0,0 of 0,0 of 0,2 of 4
37,663,1,0,1 of 1,1 of 2,0 of 0,0,0,--,0 of 0,1 of 1,0 of 0,1 of 1,0 of 0,0 of 0
38,327,1,0,8 of 13,22 of 28,1 of 1,0,0,--,8 of 13,0 of 0,0 of 0,0 of 0,0 of 0,8 of 13
38,2552,1,0,0 of 0,0 of 0,0 of 0,0,0,--,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0
39,3635,1,0,9 of 17,38 of 64,1 of 1,0,0,--,9 of 17,0 of 0,0 of 0,0 of 0,0 of 0,9 of 17
39,3947,1,0,0 of 0,0 of 0,0 of 0,0,0,--,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0
40,3644,1,0,9 of 19,67 of 84,1 of 1,0,0,--,4 of 14,0 of 0,5 of 5,0 of 1,0 of 0,9 of 18
40,3644,2,0,1 of 3,31 of 39,0 of 0,0,0,--,1 of 3,0 of 0,0 of 0,1 of 2,0 of 0,0 of 1
40,1458,1,0,3 of 8,344 of 351,0 of 0,0,0,--,2 of 3,0 of 1,1 of 4,1 of 5,0 of 0,2 of 3
40,1458,2,0,0 of 4,11 of 15,0 of 1,0,0,--,0 of 2,0 of 1,0 of 1,0 of 4,0 of 0,0 of 0
41,3635,1,0,2 of 3,11 of 13,1 of 1,1,0,--,1 of 1,0 of 1,1 of 1,0 of 0,1 of 2,1 of 1
41,327,1,0,2 of 6,5 of 10,0 of 0,0,0,--,2 of 6,0 of 0,0 of 0,0 of 1,2 of 5,0 of 0
44,5,1,2,7 of 12,7 of 12,0 of 0,0,0,--,7 of 12,0 of 0,0 of 0,0 of 1,6 of 6,1 of 5
44,2485,1,0,0 of 0,0 of 0,0 of 0,0,0,--,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0
45,4141,1,1,8 of 22,12 of 27,0 of 0,0,0,--,7 of 19,1 of 2,0 of 1,3 of 12,5 of 10,0 of 0
45,4343,1,0,9 of 33,11 of 35,0 of 1,0,0,--,9 of 30,0 of 3,0 of 0,5 of 13,4 of 20,0 of 0
46,3747,1,1,6 of 8,10 of 13,2 of 2,1,0,--,2 of 4,4 of 4,0 of 0,1 of 1,3 of 3,2 of 4
46,2667,1,0,0 of 0,2 of 2,0 of 1,0,0,--,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0
47,3947,1,0,0 of 2,5 of 7,0 of 1,1,0,--,0 of 2,0 of 0,0 of 0,0 of 0,0 of 2,0 of 0
47,327,1,0,5 of 14,5 of 14,1 of 1,0,0,--,5 of 14,0 of 0,0 of 0,0 of 0,4 of 11,1 of 3
48,5,1,0,14 of 21,18 of 25,1 of 1,0,0,--,13 of 20,1 of 1,0 of 0,1 of 1,0 of 0,13 of 20
48,4141,1,0,1 of 2,12 of 14,0 of 0,0,0,--,0 of 1,1 of 1,0 of 0,0 of 1,1 of 1,0 of 0
49,3947,1,0,0 of 0,0 of 0,0 of 0,1,1,--,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0
49,2350,1,0,0 of 0,0 of 0,0 of 1,0,0,--,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0
50,3644,1,0,2 of 5,2 of 5,0 of 1,2,0,--,1 of 4,1 of 1,0 of 0,1 of 4,1 of 1,0 of 0
50,3635,1,0,2 of 2,2 of 2,0 of 1,0,0,--,1 of 1,0 of 0,1 of 1,1 of 1,1 of 1,0 of 0
51,3947,1,0,4 of 10,48 of 59,0 of 3,4,0,--,4 of 10,0 of 0,0 of 0,3 of 9,1 of 1,0 of 0
51,5,1,0,17 of 45,39 of 71,2 of 3,1,0,--,16 of 44,1 of 1,0 of 0,8 of 27,3 of 7,6 of 11
54,352,1,0,1 of 5,1 of 5,0 of 0,2,0,--,0 of 4,1 of 1,0 of 0,0 of 4,1 of 1,0 of 0
54,1717,1,0,2 of 3,2 of 3,0 of 0,0,0,--,0 of 0,0 of 0,2 of 3,1 of 2,1 of 1,0 of 0
55,4141,1,0,4 of 4,35 of 38,1 of 1,0,0,--,4 of 4,0 of 0,0 of 0,0 of 0,0 of 0,4 of 4
55,1584,1,0,0 of 2,0 of 2,0 of 0,0,0,--,0 of 1,0 of 0,0 of 1,0 of 1,0 of 1,0 of 0
56,1549,1,0,1 of 4,13 of 23,0 of 0,0,1,--,1 of 4,0 of 0,0 of 0,0 of 1,0 of 0,1 of 3
56,1737,1,0,4 of 5,5 of 8,1 of 2,0,0,--,1 of 1,3 of 4,0 of 0,2 of 2,2 of 3,0 of 0
57,3008,1,0,0 of 0,16 of 16,1 of 1,1,0,--,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0
57,3019,1,0,0 of 0,20 of 21,0 of 0,0,0,--,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0
58,3434,1,0,1 of 1,2 of 2,1 of 1,3,0,--,1 of 1,0 of 0,0 of 0,0 of 0,1 of 1,0 of 0
58,836,1,0,6 of 7,11 of 14,0 of 0,1,1,--,2 of 3,4 of 4,0 of 0,0 of 0,0 of 0,6 of 7
59,4141,1,0,2 of 3,4 of 6,1 of 1,2,0,--,2 of 3,0 of 0,0 of 0,0 of 1,0 of 0,2 of 2
59,1549,1,0,2 of 3,4 of 5,0 of 0,0,0,--,1 of 1,0 of 1,1 of 1,2 of 2,0 of 1,0 of 0
60,3434,1,0,4 of 7,11 of 18,0 of 0,2,1,--,1 of 2,2 of 2,1 of 3,1 of 3,0 of 0,3 of 4
60,3008,1,0,2 of 4,4 of 7,1 of 1,2,0,--,0 of 1,0 of 0,2 of 3,0 of 2,2 of 2,0 of 0
61,3644,1,0,22 of 40,167 of 198,1 of 1,0,0,--,21 of 39,0 of 0,1 of 1,6 of 18,0 of 0,16 of 22
61,3644,2,0,7 of 18,13 of 24,0 of 0,1,0,--,5 of 14,2 of 4,0 of 0,2 of 11,4 of 6,1 of 1
61,3947,1,0,2 of 14,107 of 119,0 of 1,0,0,--,2 of 10,0 of 1,0 of 3,1 of 12,1 of 2,0 of 0
61,3947,2,0,2 of 8,3 of 9,0 of 1,0,0,--,1 of 7,0 of 0,1 of 1,2 of 6,0 of 2,0 of 0
62,3434,1,1,33 of 59,54 of 84,0 of 0,0,0,--,9 of 25,0 of 0,24 of 34,27 of 49,2 of 3,4 of 7
62,4141,1,0,10 of 30,36 of 63,0 of 0,1,0,--,3 of 19,2 of 2,5 of 9,7 of 27,3 of 3,0 of 0
65,5,1,0,1 of 1,3 of 5,1 of 1,1,0,--,1 of 1,0 of 0,0 of 0,1 of 1,0 of 0,0 of 0
65,1852,1,0,0 of 1,1 of 2,0 of 0,0,0,--,0 of 1,0 of 0,0 of 0,0 of 1,0 of 0,0 of 0
66,3635,1,0,0 of 0,0 of 0,1 of 1,2,0,--,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0
66,4141,1,0,1 of 1,1 of 1,0 of 0,0,0,--,0 of 0,0 of 0,1 of 1,1 of 1,0 of 0,0 of 0
67,3434,1,0,7 of 10,11 of 15,1 of 2,1,0,--,5 of 8,0 of 0,2 of 2,2 of 3,0 of 0,5 of 7
67,1538,1,0,1 of 4,1 of 4,0 of 0,0,0,--,0 of 2,0 of 0,1 of 2,1 of 4,0 of 0,0 of 0
68,3947,1,0,0 of 1,0 of 1,0 of 0,2,0,--,0 of 1,0 of 0,0 of 0,0 of 1,0 of 0,0 of 0
68,327,1,0,2 of 5,2 of 5,0 of 0,0,0,--,1 of 4,0 of 0,1 of 1,0 of 2,1 of 1,1 of 2
69,3635,1,0,57 of 65,233 of 253,1 of 2,0,0,--,36 of 43,16 of 17,5 of 5,0 of 0,5 of 5,52 of 60
69,5,1,0,3 of 6,11 of 16,0 of 0,0,0,--,3 of 6,0 of 0,0 of 0,0 of 2,2 of 3,1 of 1
70,3947,1,0,6 of 33,10 of 37,0 of 3,1,0,--,2 of 19,0 of 1,4 of 13,6 of 33,0 of 0,0 of 0
70,3434,1,0,14 of 53,29 of 68,0 of 0,0,0,--,3 of 31,0 of 0,11 of 22,14 of 52,0 of 0,0 of 1
71,3635,1,0,22 of 58,196 of 256,0 of 0,0,0,--,16 of 52,5 of 5,1 of 1,6 of 40,0 of 0,16 of 18
71,3635,2,0,2 of 21,2 of 21,0 of 0,0,0,--,2 of 21,0 of 0,0 of 0,1 of 20,0 of 0,1 of 1
71,3947,1,0,7 of 17,25 of 35,0 of 1,1,0,--,3 of 11,1 of 3,3 of 3,7 of 17,0 of 0,0 of 0
71,3947,2,0,1 of 12,1 of 12,0 of 0,0,0,--,1 of 12,0 of 0,0 of 0,1 of 12,0 of 0,0 of 0
73,1286,1,1,3 of 4,3 of 4,0 of 0,0,0,--,3 of 4,0 of 0,0 of 0,2 of 3,0 of 0,1 of 1
73,3232,1,0,1 of 2,1 of 2,0 of 0,0,0,--,1 of 2,0 of 0,0 of 0,1 of 2,0 of 0,0 of 0
74,4141,1,0,9 of 38,20 of 51,0 of 0,0,0,--,5 of 32,0 of 1,4 of 5,6 of 28,3 of 10,0 of 0
74,2700,1,0,12 of 28,12 of 28,0 of 3,0,0,--,5 of 14,2 of 2,5 of 12,9 of 17,3 of 11,0 of 0
75,398,1,0,7 of 9,27 of 33,0 of 0,1,0,--,3 of 3,2 of 2,2 of 4,4 of 6,2 of 2,1 of 1
75,1195,1,0,9 of 12,17 of 20,2 of 4,1,0,--,6 of 8,2 of 2,1 of 2,1 of 2,4 of 6,4 of 4
76,1438,1,0,8 of 8,8 of 8,1 of 1,0,0,--,8 of 8,0 of 0,0 of 0,0 of 0,0 of 0,8 of 8
76,1655,1,0,0 of 0,0 of 0,0 of 1,0,0,--,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0
77,1286,1,0,5 of 9,19 of 24,1 of 1,0,0,--,5 of 9,0 of 0,0 of 0,0 of 3,0 of 0,5 of 6
77,22,1,0,0 of 3,1 of 4,0 of 0,0,0,--,0 of 3,0 of 0,0 of 0,0 of 3,0 of 0,0 of 0
78,1438,1,0,3 of 6,7 of 10,1 of 1,1,1,--,3 of 6,0 of 0,0 of 0,0 of 1,0 of 0,3 of 5
78,398,1,0,1 of 8,18 of 28,0 of 1,0,1,--,1 of 8,0 of 0,0 of 0,0 of 0,0 of 0,1 of 8
79,3644,1,0,0 of 1,13 of 14,1 of 1,2,0,--,0 of 1,0 of 0,0 of 0,0 of 1,0 of 0,0 of 0
79,2224,1,0,4 of 5,5 of 6,0 of 0,0,1,--,3 of 4,1 of 1,0 of 0,1 of 1,0 of 0,3 of 4
80,1286,1,0,12 of 21,27 of 37,0 of 0,0,1,--,9 of 18,0 of 0,3 of 3,2 of 6,7 of 11,3 of 4
80,1438,1,0,2 of 6,2 of 6,1 of 3,0,0,--,1 of 4,1 of 2,0 of 0,0 of 3,2 of 3,0 of 0
81,2818,1,0,13 of 16,39 of 43,2 of 2,1,0,--,12 of 15,1 of 1,0 of 0,1 of 2,1 of 1,11 of 13
81,431,1,0,4 of 4,20 of 20,0 of 0,0,0,--,2 of 2,0 of 0,2 of 2,2 of 2,2 of 2,0 of 0
82,4343,1,0,9 of 11,29 of 33,1 of 1,0,0,--,6 of 6,2 of 2,1 of 3,1 of 3,0 of 0,8 of 8
82,1265,1,0,1 of 2,1 of 2,0 of 0,0,0,--,0 of 1,1 of 1,0 of 0,1 of 2,0 of 0,0 of 0
83,603,1,0,8 of 17,33 of 48,1 of 1,0,0,--,8 of 17,0 of 0,0 of 0,0 of 0,0 of 0,8 of 17
83,135,1,0,0 of 0,5 of 5,0 of 0,0,0,--,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0
84,3598,1,0,8 of 29,74 of 96,3 of 3,0,0,--,7 of 27,1 of 1,0 of 1,1 of 2,0 of 0,7 of 27
84,1438,1,0,1 of 4,3 of 7,0 of 0,0,0,--,0 of 3,0 of 0,1 of 1,1 of 4,0 of 0,0 of 0
85,1549,1,0,3 of 3,4 of 4,0 of 0,0,0,--,2 of 2,0 of 0,1 of 1,2 of 2,0 of 0,1 of 1
85,2046,1,0,1 of 2,1 of 2,1 of 1,0,0,--,1 of 2,0 of 0,0 of 0,0 of 1,1 of 1,0 of 0
86,1286,1,0,46 of 59,82 of 98,1 of 1,0,0,--,27 of 39,19 of 20,0 of 0,1 of 5,11 of 16,34 of 38
86,368,1,0,2 of 5,24 of 30,0 of 6,0,0,--,1 of 4,0 of 0,1 of 1,2 of 2,0 of 3,0 of 0
87,3635,1,0,13 of 55,29 of 74,0 of 2,0,1,--,11 of 53,0 of 0,2 of 2,7 of 46,0 of 0,6 of 9
87,3635,2,0,0 of 4,0 of 4,0 of 0,0,0,--,0 of 4,0 of 0,0 of 0,0 of 4,0 of 0,0 of 0
87,3635,3,0,3 of 16,3 of 16,0 of 0,0,0,--,2 of 13,0 of 0,1 of 3,2 of 12,1 of 4,0 of 0
87,3644,1,0,14 of 64,55 of 105,0 of 0,0,0,--,6 of 55,8 of 9,0 of 0,5 of 55,0 of 0,9 of 9
87,3644,2,0,0 of 2,0 of 2,0 of 0,0,0,--,0 of 2,0 of 0,0 of 0,0 of 2,0 of 0,0 of 0
87,3644,3,0,4 of 15,4 of 15,0 of 1,0,0,--,3 of 14,1 of 1,0 of 0,3 of 14,1 of 1,0 of 0
88,1949,1,0,21 of 36,48 of 64,0 of 2,1,1,--,9 of 23,7 of 8,5 of 5,0 of 11,18 of 22,3 of 3
88,348,1,0,3 of 5,9 of 11,0 of 1,0,0,--,3 of 5,0 of 0,0 of 0,0 of 1,3 of 4,0 of 0
90,1286,1,0,27 of 28,182 of 191,1 of 1,0,0,--,8 of 8,19 of 20,0 of 0,0 of 0,0 of 0,27 of 28
90,1549,1,0,2 of 2,22 of 26,0 of 0,0,0,--,1 of 1,1 of 1,0 of 0,1 of 1,1 of 1,0 of 0
91,1890,1,0,2 of 5,13 of 17,1 of 2,1,1,--,2 of 5,0 of 0,0 of 0,0 of 0,0 of 0,2 of 5
91,1199,1,0,3 of 4,5 of 7,0 of 0,0,0,--,2 of 3,0 of 0,1 of 1,1 of 1,0 of 0,2 of 3
92,733,1,0,25 of 30,33 of 38,1 of 2,0,0,--,20 of 25,5 of 5,0 of 0,0 of 0,0 of 0,25 of 30
92,1722,1,0,0 of 1,19 of 21,0 of 0,0,0,--,0 of 1,0 of 0,0 of 0,0 of 1,0 of 0,0 of 0
93,1438,1,0,5 of 6,6 of 7,0 of 0,0,1,--,5 of 6,0 of 0,0 of 0,2 of 3,0 of 0,3 of 3
93,576,1,0,5 of 7,8 of 10,0 of 1,0,0,--,3 of 4,1 of 2,1 of 1,0 of 0,5 of 7,0 of 0
94,1286,1,0,11 of 16,42 of 48,1 of 1,0,0,--,4 of 9,7 of 7,0 of 0,1 of 4,5 of 7,5 of 5
94,1890,1,0,11 of 22,28 of 39,0 of 0,0,0,--,5 of 13,4 of 6,2 of 3,0 of 6,11 of 16,0 of 0
95,733,1,0,33 of 48,51 of 70,2 of 2,0,0,--,33 of 48,0 of 0,0 of 0,2 of 3,19 of 26,12 of 19
95,1438,1,0,3 of 7,8 of 13,0 of 0,0,0,--,1 of 4,1 of 2,1 of 1,0 of 3,3 of 4,0 of 0
96,733,1,0,34 of 60,71 of 105,3 of 5,2,0,--,30 of 56,4 of 4,0 of 0,2 of 4,4 of 5,28 of 51
96,1286,1,0,1 of 6,17 of 22,0 of 2,0,1,--,1 of 6,0 of 0,0 of 0,1 of 6,0 of 0,0 of 0
99,733,1,0,7 of 7,8 of 8,1 of 1,2,0,--,7 of 7,0 of 0,0 of 0,1 of 1,0 of 0,6 of 6
99,3497,1,0,0 of 0,0 of 0,0 of 0,0,0,--,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0
100,1890,1,0,6 of 8,8 of 10,1 of 1,0,0,--,5 of 7,1 of 1,0 of 0,0 of 0,1 of 2,5 of 6
100,2802,1,0,0 of 0,0 of 0,0 of 1,0,0,--,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0
101,5,1,0,8 of 9,16 of 17,1 of 1,1,0,--,5 of 6,3 of 3,0 of 0,0 of 0,0 of 0,8 of 9
101,22,1,0,0 of 2,3 of 5,0 of 0,0,0,--,0 of 2,0 of 0,0 of 0,0 of 2,0 of 0,0 of 0
102,398,1,0,18 of 21,179 of 189,1 of 1,0,1,--,9 of 11,5 of 5,4 of 5,1 of 2,5 of 5,12 of 14
102,1525,1,0,2 of 3,15 of 16,1 of 3,1,0,--,1 of 2,1 of 1,0 of 0,1 of 2,1 of 1,0 of 0
103,733,1,0,9 of 10,21 of 22,1 of 1,0,0,--,9 of 10,0 of 0,0 of 0,0 of 0,0 of 0,9 of 10
103,1890,1,0,3 of 5,3 of 6,0 of 0,0,0,--,0 of 2,0 of 0,3 of 3,3 of 5,0 of 0,0 of 0
104,1195,1,0,48 of 69,146 of 169,0 of 1,0,0,--,10 of 29,31 of 33,7 of 7,9 of 23,39 of 46,0 of 0
104,1195,2,0,12 of 25,34 of 47,0 of 0,0,0,--,7 of 19,3 of 4,2 of 2,8 of 20,4 of 5,0 of 0
104,5,1,0,14 of 32,19 of 37,0 of 1,0,0,--,13 of 31,1 of 1,0 of 0,8 of 21,6 of 11,0 of 0
104,5,2,0,7 of 18,8 of 19,0 of 0,0,0,--,7 of 18,0 of 0,0 of 0,7 of 18,0 of 0,0 of 0
108,1286,1,0,16 of 30,32 of 49,0 of 0,0,0,--,10 of 22,6 of 8,0 of 0,2 of 9,14 of 21,0 of 0
108,1438,1,0,14 of 26,45 of 60,1 of 1,0,0,--,11 of 23,3 of 3,0 of 0,2 of 5,9 of 16,3 of 5
109,5,1,0,4 of 9,9 of 17,0 of 1,1,0,--,4 of 9,0 of 0,0 of 0,1 of 5,0 of 0,3 of 4
109,4343,1,0,5 of 7,16 of 22,0 of 0,0,0,--,4 of 6,1 of 1,0 of 0,1 of 3,2 of 2,2 of 2
110,2224,1,0,9 of 11,25 of 33,0 of 3,0,1,--,9 of 10,0 of 0,0 of 1,0 of 0,0 of 1,9 of 10
110,4141,1,0,21 of 28,101 of 129,0 of 0,0,0,--,19 of 26,2 of 2,0 of 0,0 of 0,9 of 12,12 of 16
