"fight_id","event_name","fight_date","weight_class","title_bout","winner","win_method","f1_fighter_id","f1_name","f1_height","f1_weight","f1_reach","f1_stance","f1_dob","f1_wins","f1_losses","f1_draws","f1_slpm","f1_str_acc","f1_sapm","f1_str_def","f1_td_avg","f1_td_acc","f1_td_def","f1_sub_avg","f2_fighter_id","f2_name","f2_height","f2_weight","f2_reach","f2_stance","f2_dob","f2_wins","f2_losses","f2_draws","f2_slpm","f2_str_acc","f2_sapm","f2_str_def","f2_td_avg","f2_td_acc","f2_td_def","f2_sub_avg"
14,"UFC 2: No Way Out","1994-03-11","Open Weight Bout",False,"Royce Gracie","Submission",1458,"Royce Gracie",73,175,0,"Southpaw","1966-12-12","2","0","0","0.32000000000000000000","0.50000000000000000000","0.48000000000000000000","0.57142857142857142857","2.40000000000000000000","1.00000000000000000000","0.00000000000000000000","7.20000000000000000000",3008,"Remco Pardoel",75,260,0,"Southpaw","1969-05-23","2","0","0","0.97058823529411764991","0.84615384615384615385","0.17647058823529411817","0.60000000000000000000","2.64705882352941177255","1.00000000000000000000",NULL,"1.32352941176470588620"
15,"UFC 2: No Way Out","1994-03-11","UFC 2 Tournament Title Bout",True,"Royce Gracie","KO/TKO",1458,"Royce Gracie",73,175,0,"Southpaw","1966-12-12","3","0","0","0.25751072961373390447","0.50000000000000000000","0.38626609442060085671","0.57142857142857142857","3.86266094420600856705","0.66666666666666666667","0.00000000000000000000","7.72532188841201713425",3747,"Patrick Smith",74,225,0,"Orthodox","1963-08-28","3","0","0","7.35483870967741925993","0.63333333333333333333","1.93548387096774191051","0.50000000000000000000","0.00000000000000000000","0.00000000000000000000","1.00000000000000000000","11.61290322580645146300"
16,"UFC 3: The American Dream","1994-09-09","Open Weight Bout",False,"Keith Hackney","KO/TKO",1538,"Keith Hackney",71,200,0,"Sideways","1958-04-15","0","0","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4382,"Emmanuel Yarborough",80,770,0,"Open Stance","1960-09-05","0","0","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17,"UFC 3: The American Dream","1994-09-09","Open Weight Bout",False,"Ken Shamrock","KO/TKO",2216,"Christophe Leninger",72,200,0,"Southpaw","1900-01-01","0","0","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3644,"Ken Shamrock",73,205,72,"Orthodox","1964-02-11","0","0","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18,"UFC 3: The American Dream","1994-09-09","Open Weight Bout",False,"Harold Howard","KO/TKO",1737,"Harold Howard",74,240,0,"Orthodox","1900-01-01","0","0","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3048,"Roland Payne",69,205,0,"Orthodox","1900-01-01","0","0","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
19,"UFC 3: The American Dream","1994-09-09","Open Weight Bout",False,"Royce Gracie","Submission",1458,"Royce Gracie",73,175,0,"Southpaw","1966-12-12","4","0","0","0.66298342541436464088","0.75000000000000000000","0.44198895027624309392","0.55555555555555555556","4.97237569060773480660","0.60000000000000000000","0.00000000000000000000","6.62983425414364640880",2224,"Kimo Leopoldo",75,235,0,"Orthodox","1968-01-05","0","0","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20,"UFC 3: The American Dream","1994-09-09","Open Weight Bout",False,"Ken Shamrock","Submission",2636,"Felix Lee Mitchell",0,0,0,"Orthodox","1900-01-01","0","0","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3644,"Ken Shamrock",73,205,72,"Orthodox","1964-02-11","1","0","0","1.6608996539792387","0.88888888888888888889","0.20761245674740484285","0.50000000000000000000","3.11418685121107264275","1.00000000000000000000",NULL,"0.00000000000000000000"
21,"UFC 3: The American Dream","1994-09-09","UFC 3 Tournament Title Bout",True,"Steve Jennum","KO/TKO",1737,"Harold Howard",74,240,0,"Orthodox","1900-01-01","1","0","0","11.73913043478260869560","0.75000000000000000000","3.91304347826086956520","0.25000000000000000000","0.00000000000000000000","0.00000000000000000000","0.50000000000000000000","0.00000000000000000000",1852,"Steve Jennum",70,215,0,"Orthodox","1963-09-23","0","0","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
22,"UFC 4: Revenge of the Warriors","1994-12-16","Open Weight Bout",False,"Joe Charles","Submission",663,"Joe Charles",73,260,0,"Southpaw","1900-01-01","0","0","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3415,"Kevin Rosier",76,275,0,"Orthodox","1900-01-01","0","0","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
23,"UFC 4: Revenge of the Warriors","1994-12-16","Open Weight Bout",False,"Marcus Bossett","KO/TKO",421,"Marcus Bossett",73,215,0,"Orthodox","1900-01-01","0","0","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,949,"Eldo Xavier Dias",71,180,0,"NaN","1964-07-16","0","0","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
24,"UFC 4: Revenge of the Warriors","1994-12-16","Open Weight Bout",False,"Guy Mezger","KO/TKO",1161,"Jason Fairn",73,230,0,"NaN","1900-01-01","0","0","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2588,"Guy Mezger",73,200,0,"Orthodox","1968-01-01","0","0","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
25,"UFC 4: Revenge of the Warriors","1994-12-16","Open Weight Bout",False,"Royce Gracie","Submission",1458,"Royce Gracie",73,175,0,"Southpaw","1966-12-12","5","0","0","0.58323207776427703382","0.57142857142857142857","0.72904009720534629227","0.44444444444444444444","3.28068043742405831520","0.42857142857142857143","0.00000000000000000000","5.46780072904009719210",4132,"Ron van Clief",70,190,0,"Orthodox","1943-01-25","0","0","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
26,"UFC 4: Revenge of the Warriors","1994-12-16","Open Weight Bout",False,"Keith Hackney","Submission",1538,"Keith Hackney",71,200,0,"Sideways","1958-04-15","1","0","0","17.1428571428571431","0.68000000000000000000","0.50420168067226891604","0.80000000000000000000","0.00000000000000000000",NULL,"1.00000000000000000000","0.00000000000000000000",3781,"Joe Son",64,236,0,"Orthodox","1970-11-22","0","0","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
27,"UFC 4: Revenge of the Warriors","1994-12-16","Open Weight Bout",False,"Steve Jennum","Submission",432,"Melton Bowen",72,225,0,"Orthodox","1969-07-16","0","0","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1852,"Steve Jennum",70,215,0,"Orthodox","1963-09-23","1","0","0","4.1379310344827586","0.54545454545454545455","1.3793103448275862","0.66666666666666666667","10.34482758620689655175","1.00000000000000000000",NULL,"0.00000000000000000000"
