fight_id,fighter_id,round,kd,sub_att,reversals,ctr_time,sig_str_landed,sig_str_attempted,total_str_landed,total_str_attempted,td_landed,td_attempted,head_landed,head_attempted,body_landed,body_attempted,leg_landed,leg_attempted,distance_landed,distance_attempted,clinch_landed,clinch_attempted,ground_landed,ground_attempted
5415,115,1,0,2,0,00:03:34,2,3,7,10,2,2,1,1,0,0,1,2,0,1,0,0,2,2
5415,115,2,0,0,0,00:00:43,1,8,1,8,1,1,0,7,0,0,1,1,1,8,0,0,0,0
5415,485,1,0,0,1,00:01:12,6,11,9,14,1,1,4,8,2,3,0,0,1,1,3,5,2,5
5415,485,2,0,1,0,00:00:00,10,19,15,24,0,0,7,15,1,1,2,3,8,17,0,0,2,2
5416,4061,1,0,1,0,00:00:19,4,13,8,17,1,2,4,12,0,1,0,0,2,10,2,3,0,0
5416,4061,2,0,0,0,00:00:00,15,58,15,58,0,0,4,41,5,10,6,7,13,54,2,4,0,0
5416,4061,3,0,0,0,00:00:45,12,51,13,52,0,0,12,47,0,3,0,1,11,45,1,6,0,0
5416,1488,1,0,0,0,00:03:15,9,18,25,37,0,0,3,10,4,5,2,3,4,12,0,0,5,6
5416,1488,2,0,0,0,00:00:00,24,50,24,50,0,0,14,32,5,12,5,6,24,49,0,1,0,0
5416,1488,3,0,0,0,00:00:30,17,47,18,48,2,2,10,35,4,7,3,5,15,45,1,1,1,1
5417,3241,1,0,1,0,00:01:06,10,34,12,36,2,3,3,23,3,4,4,7,9,33,0,0,1,1
5417,1333,1,0,0,0,00:00:03,6,16,6,16,0,0,3,11,3,4,0,1,6,16,0,0,0,0
5418,2687,1,0,0,0,00:02:16,6,8,7,9,1,2,5,7,1,1,0,0,6,8,0,0,0,0
5418,2687,2,0,0,0,00:00:00,15,35,15,35,0,0,14,33,0,1,1,1,15,35,0,0,0,0
5418,2687,3,0,0,0,00:00:00,20,56,20,56,0,2,17,51,2,4,1,1,20,56,0,0,0,0
5418,2091,1,0,0,1,00:01:18,10,14,22,28,0,0,3,7,1,1,6,6,10,13,0,0,0,1
5418,2091,2,2,0,0,00:00:36,47,79,58,91,0,0,37,67,5,7,5,5,44,75,0,0,3,4
5418,2091,3,1,0,0,00:00:17,45,81,45,81,0,0,39,74,1,2,5,5,43,78,0,0,2,3
5419,3091,1,0,0,0,00:00:34,12,29,13,30,0,0,7,21,3,6,2,2,6,22,6,7,0,0
5419,3091,2,0,0,0,00:00:31,15,31,18,34,0,1,10,24,4,6,1,1,9,23,5,7,1,1
5419,3091,3,0,0,0,00:00:16,22,36,25,39,0,0,16,27,6,9,0,0,11,22,10,12,1,2
5419,4085,1,0,0,0,00:01:24,9,35,9,35,0,5,5,29,2,4,2,2,6,32,3,3,0,0
5419,4085,2,0,0,0,00:01:40,23,48,28,53,1,2,15,38,5,7,3,3,11,34,11,13,1,1
5419,4085,3,0,0,0,00:03:38,16,37,22,44,1,2,15,36,1,1,0,0,6,25,5,5,5,7
5420,189,1,0,0,0,00:01:18,16,26,17,27,1,1,10,18,3,5,3,3,16,26,0,0,0,0
5420,189,2,0,0,0,00:01:57,8,13,16,22,0,0,6,10,2,2,0,1,4,8,0,0,4,5
5420,189,3,0,0,1,00:01:47,5,8,14,18,0,0,4,7,0,0,1,1,1,2,0,0,4,6
5420,2741,1,0,1,0,00:00:47,13,25,20,33,1,3,8,19,4,5,1,1,12,24,1,1,0,0
5420,2741,2,0,1,0,00:02:12,7,14,23,45,1,3,4,11,2,2,1,1,6,13,0,0,1,1
5420,2741,3,0,0,0,00:02:23,2,3,42,50,1,1,0,0,2,3,0,0,2,3,0,0,0,0
5421,2924,1,1,0,0,00:00:02,10,16,10,16,0,1,5,9,1,3,4,4,8,14,0,0,2,2
5421,1442,1,0,0,0,00:00:05,7,18,7,18,0,0,7,16,0,2,0,0,7,18,0,0,0,0
5422,3432,1,0,0,0,00:01:24,7,24,14,32,0,2,6,23,0,0,1,1,6,23,1,1,0,0
5422,3432,2,0,0,0,00:03:37,9,24,22,47,1,1,8,22,0,1,1,1,4,13,0,0,5,11
5422,3432,3,0,0,0,00:03:20,9,18,15,29,0,0,5,12,1,1,3,5,6,12,0,0,3,6
5422,801,1,0,1,0,00:01:05,31,58,45,72,0,2,20,41,8,13,3,4,22,45,9,13,0,0
5422,801,2,0,0,0,00:00:00,10,16,31,39,0,0,6,11,3,4,1,1,8,14,0,0,2,2
5422,801,3,0,0,0,00:00:11,10,25,30,49,1,2,4,19,3,3,3,3,9,23,0,0,1,2
5423,372,1,0,0,0,00:00:00,8,16,17,25,0,0,2,9,3,3,3,4,4,12,4,4,0,0
5423,372,2,0,0,0,00:00:00,15,38,21,44,0,0,8,29,2,4,5,5,15,38,0,0,0,0
5423,372,3,0,0,0,00:00:04,16,44,22,51,0,0,7,30,4,7,5,7,13,40,3,4,0,0
5423,372,4,0,0,0,00:00:00,17,34,23,40,0,0,10,24,4,5,3,5,14,30,3,4,0,0
5423,372,5,0,0,0,00:00:00,15,38,22,45,0,0,11,29,0,1,4,8,13,34,2,4,0,0
5423,3808,1,0,0,0,00:03:30,2,5,7,14,0,1,0,2,1,2,1,1,1,4,1,1,0,0
5423,3808,2,0,0,0,00:01:28,9,15,16,22,0,1,3,7,2,4,4,4,8,14,1,1,0,0
5423,3808,3,0,0,0,00:01:26,7,14,14,21,0,1,4,10,0,1,3,3,7,14,0,0,0,0
5423,3808,4,0,0,0,00:01:22,1,9,15,23,0,0,0,5,0,3,1,1,1,8,0,1,0,0
5423,3808,5,0,0,0,00:00:39,1,5,4,8,0,2,1,4,0,0,0,1,1,5,0,0,0,0
5424,2747,1,0,0,0,00:00:00,24,57,24,57,0,0,14,46,10,11,0,0,24,57,0,0,0,0
5424,2747,2,0,1,0,00:00:05,35,71,35,71,1,1,22,54,13,17,0,0,35,71,0,0,0,0
5424,2747,3,1,0,0,00:00:01,32,55,32,55,0,0,23,43,9,12,0,0,32,54,0,1,0,0
5424,3754,1,0,0,0,00:00:00,9,24,9,24,0,0,5,16,0,2,4,6,9,24,0,0,0,0
5424,3754,2,0,0,0,00:00:06,17,39,17,39,0,1,10,30,2,3,5,6,16,38,1,1,0,0
5424,3754,3,0,0,0,00:00:00,13,33,13,33,0,0,5,25,3,3,5,5,13,33,0,0,0,0
5425,1830,1,0,1,0,00:02:44,7,18,20,33,2,3,4,14,3,4,0,0,5,15,2,3,0,0
5425,1830,2,0,2,0,00:00:57,0,2,0,2,1,1,0,1,0,1,0,0,0,2,0,0,0,0
5425,2444,1,0,0,0,00:00:30,8,24,15,32,0,0,5,21,3,3,0,0,7,22,1,2,0,0
5425,2444,2,0,0,0,00:00:00,1,6,2,7,0,0,1,6,0,0,0,0,0,5,1,1,0,0
5426,3779,1,0,0,0,00:04:31,33,41,84,98,1,1,32,40,0,0,1,1,1,1,0,0,32,40
5426,3779,2,0,0,0,00:03:41,14,20,49,61,2,2,12,17,1,2,1,1,5,6,0,0,9,14
5426,3779,3,0,0,0,00:04:17,9,9,44,58,1,2,6,6,3,3,0,0,1,1,1,1,7,7
5426,4322,1,0,0,0,00:00:00,3,4,5,6,0,0,1,2,0,0,2,2,2,3,0,0,1,1
5426,4322,2,0,0,0,00:00:00,3,12,6,16,0,0,3,12,0,0,0,0,1,10,0,0,2,2
5426,4322,3,0,0,1,00:00:06,4,6,9,11,0,0,3,5,1,1,0,0,0,2,1,1,3,3
5427,2641,1,0,1,0,00:03:59,6,7,24,28,1,1,5,6,1,1,0,0,1,1,0,0,5,6
5427,3573,1,0,0,0,00:00:00,2,4,6,9,0,0,2,3,0,1,0,0,0,2,0,0,2,2
5428,3208,1,0,3,0,00:04:15,38,41,86,98,1,1,31,34,5,5,2,2,2,2,4,4,32,35
5428,3208,2,0,2,0,00:03:09,36,45,53,67,0,0,32,40,4,5,0,0,0,0,0,0,36,45
5428,2020,1,0,0,0,00:00:12,2,4,5,7,0,0,0,1,2,3,0,0,1,3,1,1,0,0
5428,2020,2,0,0,0,00:00:01,1,2,1,2,0,0,0,1,1,1,0,0,1,2,0,0,0,0
5429,112,1,0,0,0,00:00:00,13,26,13,26,0,0,7,20,3,3,3,3,12,24,1,2,0,0
5429,2546,1,1,1,0,00:00:43,23,41,24,42,0,3,14,31,8,9,1,1,12,26,2,3,9,12
5430,1240,1,0,0,0,00:00:10,18,42,23,47,1,1,16,40,2,2,0,0,17,40,1,2,0,0
5430,1240,2,0,0,0,00:00:01,28,65,33,70,0,0,24,60,3,4,1,1,25,60,3,5,0,0
